Syntax version=4
Wed Apr 30 08:45:41 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		CyberGearMotorList[0].angle	LegGeometryList[0].l	LegGeometryList[0].x_c	LegGeometryList[0].y_c	springConstant	cur1	cur2	dampingConstant	LegGeometryList[0].l_dot	roll_kalman_offset	roll_kalman_velocity	estimated_x	estimated_x_dot	total_force_out	current_motor1_out	current_motor2_out
D:	time(ms)	(0x2000003c,6)	(0x200001f4,6)	(0x20000204,6)	(0x20000208,6)	(0x20000870,6)	(0x20000880,6)	(0x20000884,6)	(0x20000874,6)	(0x200001f8,6)	(0x200008a0,6)	(0x20000570,7)	(0x200008ac,6)	(0x200008b0,6)	(0x200008c0,6)	(0x200008b8,6)	(0x200008bc,6)
D:	29993.81	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.744324	13.902202	5.658403	1.306222	-77.924446	-2.623456	-2.623456
D:	29997.11	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.744324	13.902202	5.658403	1.306222	-77.924446	-2.623456	-2.623456
D:	30000.14	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.744324	19.488310	5.658403	1.306222	-77.924446	-2.623456	-2.623456
D:	30003.43	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.798050	19.488310	5.658403	1.306222	-81.493980	-2.743631	-2.743631
D:	30006.34	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.798050	19.488310	5.658403	1.306222	-81.493980	-2.743631	-2.743631
D:	30010.09	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.798050	19.488310	5.681663	1.295645	-81.493980	-2.743631	-2.743631
D:	30014.53	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.798050	19.488310	5.681663	1.295645	-81.493980	-2.743631	-2.743631
D:	30018.28	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.798050	19.488310	5.681663	1.295645	-81.493980	-2.743631	-2.743631
D:	30021.38	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	26.136871	5.681663	1.295645	-85.978073	-2.894595	-2.894595
D:	30024.68	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	26.136871	5.681663	1.295645	-85.978073	-2.894595	-2.894595
D:	30027.95	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	26.136871	5.706684	1.285069	-85.978073	-2.894595	-2.894595
D:	30033.62	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	26.136871	5.706684	1.285069	-85.978073	-2.894595	-2.894595
D:	30036.94	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	26.136871	5.706684	1.285069	-85.978073	-2.894595	-2.894595
D:	30040.19	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.696228	33.177457	5.706684	1.285069	-85.978073	-2.894595	-2.894595
D:	30043.76	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	33.177457	5.706684	1.285069	-90.918129	-3.060910	-3.060910
D:	30047.48	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	33.177457	5.730572	1.274492	-90.918129	-3.060910	-3.060910
D:	30051.45	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	33.177457	5.730572	1.274492	-90.918129	-3.060910	-3.060910
D:	30054.68	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	33.177457	5.730572	1.274492	-90.918129	-3.060910	-3.060910
D:	30057.69	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	33.177457	5.730572	1.274492	-90.918129	-3.060910	-3.060910
D:	30060.84	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-38.517643	31.526596	5.730572	1.274492	-90.918129	-3.060910	-3.060910
D:	30065.56	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.983204	31.526596	5.730572	1.274492	-92.117027	-3.101273	-3.101273
D:	30069.94	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.983204	31.526596	5.756001	1.269204	-92.117027	-3.101273	-3.101273
D:	30073.02	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.983204	31.526596	5.756001	1.269204	-92.117027	-3.101273	-3.101273
D:	30075.88	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.983204	31.526596	5.756001	1.269204	-92.117027	-3.101273	-3.101273
D:	30078.80	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.983204	31.526596	5.756001	1.269204	-92.117027	-3.101273	-3.101273
D:	30083.07	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.528130	30.024753	5.756001	1.269204	-93.239540	-3.139065	-3.139065
D:	30086.04	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.528130	30.024753	5.756001	1.269204	-93.239540	-3.139065	-3.139065
D:	30089.18	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.528130	30.024753	5.780703	1.263915	-93.239540	-3.139065	-3.139065
D:	30092.50	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.528130	30.024753	5.780703	1.263915	-93.239540	-3.139065	-3.139065
D:	30098.20	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.528130	30.024753	5.780703	1.263915	-93.239540	-3.139065	-3.139065
D:	30102.31	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.128231	28.324653	5.780703	1.263915	-94.094833	-3.167859	-3.167859
D:	30105.64	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.128231	28.324653	5.780703	1.263915	-94.094833	-3.167859	-3.167859
D:	30108.87	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.128231	28.324653	5.804339	1.263915	-94.094833	-3.167859	-3.167859
D:	30112.06	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.128231	28.324653	5.804339	1.263915	-94.094833	-3.167859	-3.167859
D:	30117.86	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.128231	28.324653	5.804339	1.263915	-94.094833	-3.167859	-3.167859
D:	30121.40	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	23.608344	5.804339	1.263915	-93.207291	-3.137979	-3.137979
D:	30126.34	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	23.608344	5.804339	1.263915	-93.207291	-3.137979	-3.137979
D:	30129.73	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	23.608344	5.828644	1.258627	-93.207291	-3.137979	-3.137979
D:	30134.69	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	23.608344	5.828644	1.258627	-93.207291	-3.137979	-3.137979
D:	30137.81	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	23.608344	5.828644	1.258627	-93.207291	-3.137979	-3.137979
D:	30140.92	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.771839	19.631941	5.828644	1.258627	-93.207291	-3.137979	-3.137979
D:	30144.00	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.518841	19.631941	5.828644	1.258627	-92.469604	-3.113144	-3.113144
D:	30146.96	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.518841	19.631941	5.828644	1.258627	-92.469604	-3.113144	-3.113144
D:	30150.49	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.518841	19.631941	5.854053	1.258627	-92.469604	-3.113144	-3.113144
D:	30153.49	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.518841	19.631941	5.854053	1.258627	-92.469604	-3.113144	-3.113144
D:	30158.11	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.518841	19.631941	5.854053	1.258627	-92.469604	-3.113144	-3.113144
D:	30161.86	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.253201	13.028787	5.854053	1.258627	-90.403496	-3.043585	-3.043585
D:	30167.15	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.253201	13.028787	5.854053	1.258627	-90.403496	-3.043585	-3.043585
D:	30170.56	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.253201	13.028787	5.878697	1.253338	-90.403496	-3.043585	-3.043585
D:	30173.48	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.253201	13.028787	5.878697	1.253338	-90.403496	-3.043585	-3.043585
D:	30177.16	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.253201	13.028787	5.878697	1.253338	-90.403496	-3.043585	-3.043585
D:	30181.61	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.878697	1.253338	-90.936691	-3.061536	-3.061536
D:	30184.88	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.878697	1.253338	-90.936691	-3.061536	-3.061536
D:	30188.28	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.902615	1.253338	-90.936691	-3.061536	-3.061536
D:	30191.38	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.902615	1.253338	-90.936691	-3.061536	-3.061536
D:	30194.46	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.902615	1.253338	-90.936691	-3.061536	-3.061536
